21:58:51 INFO    [gui] === GUI 启动 ===
21:58:53 INFO    [hotkeys] RegisterHotKey id=1 key=Ctrl+Alt+S -> OK
21:58:53 INFO    [hotkeys] RegisterHotKey id=2 key=Ctrl+Alt+E -> OK
21:58:53 INFO    [hotkeys] RegisterHotKey id=3 key=Ctrl+Alt+L -> OK
21:58:53 INFO    [hotkeys] RegisterHotKey id=4 key=Ctrl+Alt+W -> OK
21:58:53 INFO    [tray] 系统托盘已启动
21:59:19 INFO    [controller] 采集会话启动 remote_idx=16 self_idx=1 tgt=zh
21:59:19 INFO    [controller] 已连接并开始实时翻译（远端[16] 耳机 (2- W20 dongle) [Loopback] / 自己[1] 麦克风 (2- W20 dongle)）
21:59:20 INFO    [session] VAD started ms=0 item=item_APZloYd2hkyhAb4LlVRyH last_sp=?
21:59:20 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Don
21:59:20 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Don't
21:59:20 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Don't you
21:59:20 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Don't you hear
21:59:20 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Don't you hear?
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about?
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position
21:59:21 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position?
21:59:22 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open
21:59:22 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with
21:59:22 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our
21:59:22 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company
21:59:22 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company?
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:24 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:26 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:26 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:26 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:26 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:28 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:28 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:28 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:28 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:28 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] audio.push sp_dist={'remote': 300} segs=300
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
21:59:30 INFO    [session] asr.partial item=item_APZloYd2hkyhAb4LlVRyH sp=?: Did you hear about the position open with our company here a
